,State,Abbreviation
0, ALASKA, AK
1, AMERICAN SAMOA, AS
2, ARIZONA, AZ
3, ARKANSAS, AR
4, CALIFORNIA, CA
5, COLORADO, CO
6, CONNECTICUT, CT
7, DELAWARE, DE
8, DISTRICT OF COLUMBIA, DC
9, FLORIDA, FL
10, GEORGIA, GA
11, GUAM,GU
12, HAWAII, HI
13, IDAHO, ID
14, ILLINOIS, IL
15, INDIANA, IN
16, IOWA, IA
17, KANSAS, KS
18, KENTUCKY, KY
19, LOUISIANA, LA
20, MAINE, ME
21, MARYLAND, MD
22, MASSACHUSETTS, MA
23, MICHIGAN, MI
24, MINNESOTA, MN
25, MISSISSIPPI, MS
26, MISSOURI, MO
27, MONTANA, MT
28, NEBRASKA, NE
29, NEVADA, NV
30, NEW HAMPSHIRE, NH
31, NEW JERSEY, NJ
32, NEW MEXICO, NM
33, NEW YORK, NY
34, NORTH CAROLINA, NC
35, NORTH DAKOTA, ND
36, NORTHERN MARIANA IS, MP
37, OHIO, OH
38, OKLAHOMA, OK
39, OREGON, OR
40, PENNSYLVANIA, PA
41, PUERTO RICO, PR
42, RHODE ISLAND, RI
43, SOUTH CAROLINA, SC
44, SOUTH DAKOTA, SD
45, TENNESSEE, TN
46, TEXAS, TX
47, UTAH, UT
48, VERMONT, VT
49, VIRGINIA, VA
50, VIRGIN ISLANDS, VI
51, WASHINGTON, WA
52, WEST VIRGINIA, WV
53, WISCONSIN, WI
54, WYOMING, WY
